Rprec_mult_1.40       	1020	0.5000
Rprec_mult_1.60       	1020	0.5000
Rprec_mult_1.80       	1020	0.5000
Rprec_mult_2.00       	1020	0.5000
utility               	1020	-30.0000
11pt_avg              	1020	0.5000
binG                  	1020	0.6309
G                     	1020	0.6309
ndcg                  	1020	0.6309
ndcg_rel              	1020	0.6309
Rndcg                 	1020	0.3155
ndcg_cut_5            	1020	0.6309
ndcg_cut_10           	1020	0.6309
ndcg_cut_15           	1020	0.6309
ndcg_cut_20           	1020	0.6309
ndcg_cut_30           	1020	0.6309
ndcg_cut_100          	1020	0.6309
ndcg_cut_200          	1020	0.6309
ndcg_cut_500          	1020	0.6309
ndcg_cut_1000         	1020	0.6309
map_cut_5             	1020	0.5000
map_cut_10            	1020	0.5000
map_cut_15            	1020	0.5000
map_cut_20            	1020	0.5000
map_cut_30            	1020	0.5000
map_cut_100           	1020	0.5000
map_cut_200           	1020	0.5000
map_cut_500           	1020	0.5000
map_cut_1000          	1020	0.5000
relative_P_5          	1020	1.0000
relative_P_10         	1020	1.0000
relative_P_15         	1020	1.0000
relative_P_20         	1020	1.0000
relative_P_30         	1020	1.0000
relative_P_100        	1020	1.0000
relative_P_200        	1020	1.0000
relative_P_500        	1020	1.0000
relative_P_1000       	1020	1.0000
success_1             	1020	0.0000
success_5             	1020	1.0000
success_10            	1020	1.0000
set_P                 	1020	0.0312
set_relative_P        	1020	1.0000
set_recall            	1020	1.0000
set_map               	1020	0.0312
set_F                 	1020	0.0606
num_nonrel_judged_ret 	1020	0
num_ret               	1023	58
num_rel               	1023	3
num_rel_ret           	1023	3
map                   	1023	0.0643
Rprec                 	1023	0.0000
bpref                 	1023	1.0000
recip_rank            	1023	0.0833
iprec_at_recall_0.00  	1023	0.0833
iprec_at_recall_0.10  	1023	0.0833
iprec_at_recall_0.20  	1023	0.0833
iprec_at_recall_0.30  	1023	0.0833
iprec_at_recall_0.40  	1023	0.0652
iprec_at_recall_0.50  	1023	0.0652
iprec_at_recall_0.60  	1023	0.0652
iprec_at_recall_0.70  	1023	0.0652
iprec_at_recall_0.80  	1023	0.0652
iprec_at_recall_0.90  	1023	0.0652
iprec_at_recall_1.00  	1023	0.0652
P_5                   	1023	0.0000
P_10                  	1023	0.0000
P_15                  	1023	0.0667
P_20                  	1023	0.0500
P_30                  	1023	0.0333
P_100                 	1023	0.0300
P_200                 	1023	0.0150
P_500                 	1023	0.0060
P_1000                	1023	0.0030
relstring             	1023	'----------'
recall_5              	1023	0.0000
recall_10             	1023	0.0000
recall_15             	1023	0.3333
recall_20             	1023	0.3333
recall_30             	1023	0.3333
recall_100            	1023	1.0000
recall_200            	1023	1.0000
recall_500            	1023	1.0000
recall_1000           	1023	1.0000
infAP                 	1023	0.0643
Rprec_mult_0.20       	1023	0.0000
Rprec_mult_0.40       	1023	0.0000
Rprec_mult_0.60       	1023	0.0000
Rprec_mult_0.80       	1023	0.0000
Rprec_mult_1.00       	1023	0.0000
Rprec_mult_1.20       	1023	0.0000
Rprec_mult_1.40       	1023	0.0000
Rprec_mult_1.60       	1023	0.0000
Rprec_mult_1.80       	1023	0.0000
Rprec_mult_2.00       	1023	0.0000
utility               	1023	-52.0000
11pt_avg              	1023	0.0718
binG                  	1023	0.2115
G                     	1023	0.2115
ndcg                  	1023	0.2963
ndcg_rel              	1023	0.2116
Rndcg                 	1023	0.1481
ndcg_cut_5            	1023	0.0000
ndcg_cut_10           	1023	0.0000
ndcg_cut_15           	1023	0.1268
ndcg_cut_20           	1023	0.1268
ndcg_cut_30           	1023	0.1268
ndcg_cut_100          	1023	0.2963
ndcg_cut_200          	1023	0.2963
ndcg_cut_500          	1023	0.2963
ndcg_cut_1000         	1023	0.2963
map_cut_5             	1023	0.0000
map_cut_10            	1023	0.0000
map_cut_15            	1023	0.0278
map_cut_20            	1023	0.0278
map_cut_30            	1023	0.0278
map_cut_100           	1023	0.0643
map_cut_200           	1023	0.0643
map_cut_500           	1023	0.0643
map_cut_1000          	1023	0.0643
relative_P_5          	1023	0.0000
relative_P_10         	1023	0.0000
relative_P_15         	1023	0.3333
relative_P_20         	1023	0.3333
relative_P_30         	1023	0.3333
relative_P_100        	1023	1.0000
relative_P_200        	1023	1.0000
relative_P_500        	1023	1.0000
relative_P_1000       	1023	1.0000
success_1             	1023	0.0000
success_5             	1023	0.0000
success_10            	1023	0.0000
set_P                 	1023	0.0517
set_relative_P        	1023	1.0000
set_recall            	1023	1.0000
set_map               	1023	0.0517
set_F                 	1023	0.0984
num_nonrel_judged_ret 	1023	0
num_ret               	1026	101
num_rel               	1026	2
num_rel_ret           	1026	2
map                   	1026	1.0000
Rprec                 	1026	1.0000
bpref                 	1026	1.0000
recip_rank            	1026	1.0000
iprec_at_recall_0.00  	1026	1.0000
iprec_at_recall_0.10  	1026	1.0000
iprec_at_recall_0.20  	1026	1.0000
iprec_at_recall_0.30  	1026	1.0000
iprec_at_recall_0.40  	1026	1.0000
iprec_at_recall_0.50  	1026	1.0000
iprec_at_recall_0.60  	1026	1.0000
iprec_at_recall_0.70  	1026	1.0000
iprec_at_recall_0.80  	1026	1.0000
iprec_at_recall_0.90  	1026	1.0000
iprec_at_recall_1.00  	1026	1.0000
P_5                   	1026	0.4000
P_10                  	1026	0.2000
P_15                  	1026	0.1333
P_20                  	1026	0.1000
P_30                  	1026	0.0667
P_100                 	1026	0.0200
P_200                 	1026	0.0100
P_500                 	1026	0.0040
P_1000                	1026	0.0020
relstring             	1026	'11--------'
recall_5              	1026	1.0000
recall_10             	1026	1.0000
recall_15             	1026	1.0000
recall_20             	1026	1.0000
recall_30             	1026	1.0000
recall_100            	1026	1.0000
recall_200            	1026	1.0000
recall_500            	1026	1.0000
recall_1000           	1026	1.0000
infAP                 	1026	1.0000
Rprec_mult_0.20       	1026	1.0000
Rprec_mult_0.40       	1026	1.0000
Rprec_mult_0.60       	1026	1.0000
Rprec_mult_0.80       	1026	1.0000
Rprec_mult_1.00       	1026	1.0000
Rprec_mult_1.20       	1026	0.6667
Rprec_mult_1.40       	1026	0.6667
Rprec_mult_1.60       	1026	0.5000
Rprec_mult_1.80       	1026	0.5000
Rprec_mult_2.00       	1026	0.5000
utility               	1026	-97.0000
11pt_avg              	1026	1.0000
binG                  	1026	1.0000
G                     	1026	1.0000
ndcg                  	1026	1.0000
ndcg_rel              	1026	1.0000
Rndcg                 	1026	1.0000
ndcg_cut_5            	1026	1.0000
ndcg_cut_10           	1026	1.0000
ndcg_cut_15           	1026	1.0000
ndcg_cut_20           	1026	1.0000
ndcg_cut_30           	1026	1.0000
ndcg_cut_100          	1026	1.0000
ndcg_cut_200          	1026	1.0000
ndcg_cut_500          	1026	1.0000
ndcg_cut_1000         	1026	1.0000
map_cut_5             	1026	1.0000
map_cut_10            	1026	1.0000
map_cut_15            	1026	1.0000
map_cut_20            	1026	1.0000
map_cut_30            	1026	1.0000
map_cut_100           	1026	1.0000
map_cut_200           	1026	1.0000
map_cut_500           	1026	1.0000
map_cut_1000          	1026	1.0000
relative_P_5          	1026	1.0000
relative_P_10         	1026	1.0000
relative_P_15         	1026	1.0000
relative_P_20         	1026	1.0000
relative_P_30         	1026	1.0000
relative_P_100        	1026	1.0000
relative_P_200        	1026	1.0000
relative_P_500        	1026	1.0000
relative_P_1000       	1026	1.0000
success_1             	1026	1.0000
success_5             	1026	1.0000
success_10            	1026	1.0000
set_P                 	1026	0.0198
set_relative_P        	1026	1.0000
set_recall            	1026	1.0000
set_map               	1026	0.0198
set_F                 	1026	0.0388
num_nonrel_judged_ret 	1026	0
num_ret               	1033	73
num_rel               	1033	2
num_rel_ret           	1033	2
map                   	1033	1.0000
Rprec                 	1033	1.0000
bpref                 	1033	1.0000
recip_rank            	1033	1.0000
iprec_at_recall_0.00  	1033	1.0000
iprec_at_recall_0.10  	1033	1.0000
iprec_at_recall_0.20  	1033	1.0000
iprec_at_recall_0.30  	1033	1.0000
iprec_at_recall_0.40  	1033	1.0000
iprec_at_recall_0.50  	1033	1.0000
iprec_at_recall_0.60  	1033	1.0000
iprec_at_recall_0.70  	1033	1.0000
iprec_at_recall_0.80  	1033	1.0000
iprec_at_recall_0.90  	1033	1.0000
iprec_at_recall_1.00  	1033	1.0000
P_5                   	1033	0.4000
P_10                  	1033	0.2000
P_15                  	1033	0.1333
P_20                  	1033	0.1000
P_30                  	1033	0.0667
P_100                 	1033	0.0200
P_200                 	1033	0.0100
P_500                 	1033	0.0040
P_1000                	1033	0.0020
relstring             	1033	'11--------'
recall_5              	1033	1.0000
recall_10             	1033	1.0000
recall_15             	1033	1.0000
recall_20             	1033	1.0000
recall_30             	1033	1.0000
recall_100            	1033	1.0000
recall_200            	1033	1.0000
recall_500            	1033	1.0000
recall_1000           	1033	1.0000
infAP                 	1033	1.0000
Rprec_mult_0.20       	1033	1.0000
Rprec_mult_0.40       	1033	1.0000
Rprec_mult_0.60       	1033	1.0000
Rprec_mult_0.80       	1033	1.0000
Rprec_mult_1.00       	1033	1.0000
Rprec_mult_1.20       	1033	0.6667
Rprec_mult_1.40       	1033	0.6667
Rprec_mult_1.60       	1033	0.5000
Rprec_mult_1.80       	1033	0.5000
Rprec_mult_2.00       	1033	0.5000
utility               	1033	-69.0000
11pt_avg              	1033	1.0000
binG                  	1033	1.0000
G                     	1033	1.0000
ndcg                  	1033	1.0000
ndcg_rel              	1033	1.0000
Rndcg                 	1033	1.0000
ndcg_cut_5            	1033	1.0000
ndcg_cut_10           	1033	1.0000
ndcg_cut_15           	1033	1.0000
ndcg_cut_20           	1033	1.0000
ndcg_cut_30           	1033	1.0000
ndcg_cut_100          	1033	1.0000
ndcg_cut_200          	1033	1.0000
ndcg_cut_500          	1033	1.0000
ndcg_cut_1000         	1033	1.0000
map_cut_5             	1033	1.0000
map_cut_10            	1033	1.0000
map_cut_15            	1033	1.0000
map_cut_20            	1033	1.0000
map_cut_30            	1033	1.0000
map_cut_100           	1033	1.0000
map_cut_200           	1033	1.0000
map_cut_500           	1033	1.0000
map_cut_1000          	1033	1.0000
relative_P_5          	1033	1.0000
relative_P_10         	1033	1.0000
relative_P_15         	1033	1.0000
relative_P_20         	1033	1.0000
relative_P_30         	1033	1.0000
relative_P_100        	1033	1.0000
relative_P_200        	1033	1.0000
relative_P_500        	1033	1.0000
relative_P_1000       	1033	1.0000
success_1             	1033	1.0000
success_5             	1033	1.0000
success_10            	1033	1.0000
set_P                 	1033	0.0274
set_relative_P        	1033	1.0000
set_recall            	1033	1.0000
set_map               	1033	0.0274
set_F                 	1033	0.0533
num_nonrel_judged_ret 	1033	0
num_ret               	1036	93
num_rel               	1036	1
num_rel_ret           	1036	1
map                   	1036	0.3333
Rprec                 	1036	0.0000
bpref                 	1036	1.0000
recip_rank            	1036	0.3333
iprec_at_recall_0.00  	1036	0.3333
iprec_at_recall_0.10  	1036	0.3333
iprec_at_recall_0.20  	1036	0.3333
iprec_at_recall_0.30  	1036	0.3333
iprec_at_recall_0.40  	1036	0.3333
iprec_at_recall_0.50  	1036	0.3333
iprec_at_recall_0.60  	1036	0.3333
iprec_at_recall_0.70  	1036	0.3333
iprec_at_recall_0.80  	1036	0.3333
iprec_at_recall_0.90  	1036	0.3333
iprec_at_recall_1.00  	1036	0.3333
P_5                   	1036	0.2000
P_10                  	1036	0.1000
P_15                  	1036	0.0667
P_20                  	1036	0.0500
P_30                  	1036	0.0333
P_100                 	1036	0.0100
P_200                 	1036	0.0050
P_500                 	1036	0.0020
P_1000                	1036	0.0010
relstring             	1036	'--1-------'
recall_5              	1036	1.0000
recall_10             	1036	1.0000
recall_15             	1036	1.0000
recall_20             	1036	1.0000
recall_30             	1036	1.0000
recall_100            	1036	1.0000
recall_200            	1036	1.0000
recall_500            	1036	1.0000
recall_1000           	1036	1.0000
infAP                 	1036	0.3333
Rprec_mult_0.20       	1036	0.0000
Rprec_mult_0.40       	1036	0.0000
Rprec_mult_0.60       	1036	0.0000
Rprec_mult_0.80       	1036	0.0000
Rprec_mult_1.00       	1036	0.0000
Rprec_mult_1.20       	1036	0.0000
Rprec_mult_1.40       	1036	0.0000
Rprec_mult_1.60       	1036	0.0000
Rprec_mult_1.80       	1036	0.0000
Rprec_mult_2.00       	1036	0.0000
utility               	1036	-91.0000
11pt_avg              	1036	0.3333
binG                  	1036	0.5000
G                     	1036	0.5000
ndcg                  	1036	0.5000
ndcg_rel              	1036	0.5000
Rndcg                 	1036	0.2500
ndcg_cut_5            	1036	0.5000
ndcg_cut_10           	1036	0.5000
ndcg_cut_15           	1036	0.5000
ndcg_cut_20           	1036	0.5000
ndcg_cut_30           	1036	0.5000
ndcg_cut_100          	1036	0.5000
ndcg_cut_200          	1036	0.5000
ndcg_cut_500          	1036	0.5000
ndcg_cut_1000         	1036	0.5000
map_cut_5             	1036	0.3333
map_cut_10            	1036	0.3333
map_cut_15            	1036	0.3333
map_cut_20            	1036	0.3333
map_cut_30            	1036	0.3333
map_cut_100           	1036	0.3333
map_cut_200           	1036	0.3333
map_cut_500           	1036	0.3333
map_cut_1000          	1036	0.3333
relative_P_5          	1036	1.0000
relative_P_10         	1036	1.0000
relative_P_15         	1036	1.0000
relative_P_20         	1036	1.0000
relative_P_30         	1036	1.0000
relative_P_100        	1036	1.0000
relative_P_200        	1036	1.0000
relative_P_500        	1036	1.0000
relative_P_1000       	1036	1.0000
success_1             	1036	0.0000
success_5             	1036	1.0000
success_10            	1036	1.0000
set_P                 	1036	0.0108
set_relative_P        	1036	1.0000
set_recall            	1036	1.0000
set_map               	1036	0.0108
set_F                 	1036	0.0213
num_nonrel_judged_ret 	1036	0
num_ret               	104	69
num_rel               	104	1
num_rel_ret           	104	1
map                   	104	0.2000
Rprec                 	104	0.0000
bpref                 	104	1.0000
recip_rank            	104	0.2000
iprec_at_recall_0.00  	104	0.2000
iprec_at_recall_0.10  	104	0.2000
iprec_at_recall_0.20  	104	0.2000
iprec_at_recall_0.30  	104	0.2000
iprec_at_recall_0.40  	104	0.2000
iprec_at_recall_0.50  	104	0.2000
iprec_at_recall_0.60  	104	0.2000
iprec_at_recall_0.70  	104	0.2000
iprec_at_recall_0.80  	104	0.2000
iprec_at_recall_0.90  	104	0.2000
iprec_at_recall_1.00  	104	0.2000
P_5                   	104	0.2000
P_10                  	104	0.1000
P_15                  	104	0.0667
P_20                  	104	0.0500
P_30                  	104	0.0333
P_100                 	104	0.0100
P_200                 	104	0.0050
P_500                 	104	0.0020
P_1000                	104	0.0010
relstring             	104	'----1-----'
recall_5              	104	1.0000
recall_10             	104	1.0000
recall_15             	104	1.0000
recall_20             	104	1.0000
recall_30             	104	1.0000
recall_100            	104	1.0000
recall_200            	104	1.0000
recall_500            	104	1.0000
recall_1000           	104	1.0000
infAP                 	104	0.2000
Rprec_mult_0.20       	104	0.0000
Rprec_mult_0.40       	104	0.0000
Rprec_mult_0.60       	104	0.0000
Rprec_mult_0.80       	104	0.0000
Rprec_mult_1.00       	104	0.0000
Rprec_mult_1.20       	104	0.0000
Rprec_mult_1.40       	104	0.0000
Rprec_mult_1.60       	104	0.0000
Rprec_mult_1.80       	104	0.0000
Rprec_mult_2.00       	104	0.0000
utility               	104	-67.0000
11pt_avg              	104	0.2000
binG                  	104	0.3869
G                     	104	0.3869
ndcg                  	104	0.3869
ndcg_rel              	104	0.3869
Rndcg                 	104	0.1934
ndcg_cut_5            	104	0.3869
ndcg_cut_10           	104	0.3869
ndcg_cut_15           	104	0.3869
ndcg_cut_20           	104	0.3869
ndcg_cut_30           	104	0.3869
ndcg_cut_100          	104	0.3869
ndcg_cut_200          	104	0.3869
ndcg_cut_500          	104	0.3869
ndcg_cut_1000         	104	0.3869
map_cut_5             	104	0.2000
map_cut_10            	104	0.2000
map_cut_15            	104	0.2000
map_cut_20            	104	0.2000
map_cut_30            	104	0.2000
map_cut_100           	104	0.2000
map_cut_200           	104	0.2000
map_cut_500           	104	0.2000
map_cut_1000          	104	0.2000
relative_P_5          	104	1.0000
relative_P_10         	104	1.0000
relative_P_15         	104	1.0000
relative_P_20         	104	1.0000
relative_P_30         	104	1.0000
relative_P_100        	104	1.0000
relative_P_200        	104	1.0000
relative_P_500        	104	1.0000
relative_P_1000       	104	1.0000
success_1             	104	0.0000
success_5             	104	1.0000
success_10            	104	1.0000
set_P                 	104	0.0145
set_relative_P        	104	1.0000
set_recall            	104	1.0000
set_map               	104	0.0145
set_F                 	104	0.0286
num_nonrel_judged_ret 	104	0
num_ret               	1051	20
num_rel               	1051	1
num_rel_ret           	1051	1
map                   	1051	0.2500
Rprec                 	1051	0.0000
bpref                 	1051	1.0000
recip_rank            	1051	0.2500
iprec_at_recall_0.00  	1051	0.2500
iprec_at_recall_0.10  	1051	0.2500
iprec_at_recall_0.20  	1051	0.2500
iprec_at_recall_0.30  	1051	0.2500
iprec_at_recall_0.40  	1051	0.2500
iprec_at_recall_0.50  	1051	0.2500
iprec_at_recall_0.60  	1051	0.2500
iprec_at_recall_0.70  	1051	0.2500
iprec_at_recall_0.80  	1051	0.2500
iprec_at_recall_0.90  	1051	0.2500
iprec_at_recall_1.00  	1051	0.2500
P_5                   	1051	0.2000
P_10                  	1051	0.1000
P_15                  	1051	0.0667
P_20                  	1051	0.0500
P_30                  	1051	0.0333
P_100                 	1051	0.0100
P_200                 	1051	0.0050
P_500                 	1051	0.0020
P_1000                	1051	0.0010
relstring             	1051	'---1------'
recall_5              	1051	1.0000
recall_10             	1051	1.0000
